Date,AAPL,MSFT,GOOGL,AMZN,NVDA,JNJ,JPM,XOM,PG,TSLA
2021-03-24,142.8,257.61,100.01,214.94,169.71,186.55,149.32,55.02,146.49,287.16
2021-03-25,140.97,249.83,98.09,223.34,162.95,186.53,152.84,56.17,147.22,282.63
2021-03-26,141.59,247.87,96.91,230.61,163.03,187.25,152.57,57.3,151.25,284.32
2021-03-29,140.42,246.29,97.02,227.78,162.8,183.38,150.84,57.37,152.27,276.42
2021-03-30,137.35,242.21,94.25,223.75,157.28,180.83,149.75,56.74,152.83,255.23
2021-03-31,135.34,241.16,92.68,220.68,154.9,180.89,147.28,56.43,151.3,253.34
2021-04-01,135.19,241.42,94.61,217.63,157.87,176.71,142.95,54.57,149.06,250.92
2021-04-02,135.87,241.68,94.79,220.16,160.73,175.2,141.96,54.6,150.02,248.24
2021-04-05,135.77,241.71,94.2,217.12,160.6,174.72,142.13,53.58,149.48,244.88
2021-04-06,137.53,241.62,95.03,220.04,165.96,173.42,141.01,52.81,148.22,257.73
2021-04-07,135.05,236.95,94.26,212.2,161.52,169.97,141.58,50.36,145.07,245.26
2021-04-08,137.13,239.33,95.21,218.79,170.89,171.89,141.96,50.58,145.05,257.22
2021-04-09,133.87,236.93,95.05,218.92,165.51,172.57,145.95,52.19,143.21,258.33
2021-04-12,133.63,238.59,95.53,210.32,164.89,172.06,142.57,51.8,140.59,255.92
2021-04-13,136.45,239.88,97.32,207.37,172.73,171.01,143.02,51.69,142.2,261.43
2021-04-14,136.52,238.5,95.76,210.24,171.07,171.56,142.71,51.62,144.91,256.02
2021-04-15,133.42,234.11,94.14,209.45,162.54,172.32,138.93,51.95,142.38,245.71
2021-04-16,135.67,237.03,96.16,214.04,170.16,174.51,140.28,53.01,141.73,259.7
2021-04-19,137.44,239.43,97.63,215.12,176.46,174.7,140.29,53.88,140.76,274.14
2021-04-20,135.37,240.1,96.71,213.22,176.41,172.41,137.76,54.47,141.11,271.0
2021-04-21,132.72,238.43,95.9,211.0,175.94,171.35,136.19,52.05,141.54,259.82
2021-04-22,129.47,230.69,92.54,210.6,166.15,169.35,131.98,50.44,138.51,237.44
2021-04-23,127.47,229.94,91.47,205.59,169.18,168.13,132.94,51.44,136.81,245.07
2021-04-26,126.55,227.6,91.09,202.96,164.97,167.21,131.69,50.1,137.09,240.48
2021-04-27,127.29,227.7,90.87,201.12,171.21,168.17,130.14,49.87,137.53,251.43
2021-04-28,128.42,231.51,91.34,201.95,171.08,167.24,131.52,49.67,136.29,249.02
2021-04-29,129.85,230.88,89.22,199.25,174.33,167.22,132.0,48.69,135.44,255.88
2021-04-30,130.4,232.28,90.34,201.44,177.31,168.57,134.31,49.8,137.02,269.74
2021-05-03,129.2,232.03,89.55,197.34,173.89,168.85,134.47,49.9,136.25,267.04
2021-05-04,130.89,230.72,89.98,199.5,176.19,166.83,136.87,50.36,137.27,270.41
2021-05-05,132.04,232.22,91.56,196.32,178.44,166.93,137.28,49.88,136.81,275.59
2021-05-06,128.55,230.41,89.53,193.18,174.74,166.15,135.6,47.98,136.73,264.75
2021-05-07,125.36,225.83,86.63,189.32,169.43,166.67,136.02,48.59,136.27,256.24
2021-05-10,125.22,227.12,85.92,193.79,173.32,167.46,134.81,48.43,136.87,254.43
2021-05-11,127.11,228.66,87.24,195.71,177.11,167.36,136.97,49.38,138.01,265.65
2021-05-12,125.38,227.4,87.24,196.08,172.05,167.31,138.03,48.95,135.74,256.34
2021-05-13,124.06,225.87,85.34,196.01,168.11,168.65,136.75,48.85,135.41,247.39
2021-05-14,128.86,230.51,88.67,197.49,176.99,169.44,138.84,48.83,136.19,260.26
2021-05-17,133.71,236.16,91.86,208.14,184.87,171.13,141.34,50.01,137.25,268.78
2021-05-18,134.19,234.35,92.46,211.37,182.64,170.43,142.35,49.62,139.35,264.71
2021-05-19,135.07,236.99,92.81,215.61,186.58,172.68,143.19,51.2,140.5,283.62
2021-05-20,134.4,236.76,91.73,212.61,187.18,173.98,148.7,51.53,139.87,293.51
2021-05-21,132.21,235.58,90.31,210.89,187.17,173.85,149.73,52.23,137.71,291.33
2021-05-24,129.2,236.69,89.26,213.63,181.75,174.23,151.37,53.03,137.42,273.56
2021-05-25,132.0,241.92,91.49,213.97,189.65,174.38,149.25,53.02,137.61,287.97
2021-05-26,127.69,237.34,88.22,210.27,182.61,173.79,148.6,51.62,138.09,267.32
2021-05-27,124.8,233.26,84.97,207.42,175.66,174.98,148.02,50.23,136.75,257.55
2021-05-28,126.48,238.2,87.25,209.02,182.55,177.58,150.03,51.04,136.91,266.57
2021-05-31,126.65,236.89,87.0,205.75,180.59,177.45,148.3,50.59,136.9,267.07
2021-06-01,126.47,239.25,85.82,214.55,181.34,179.92,146.98,51.89,137.67,262.15
2021-06-02,128.62,241.59,87.38,213.76,184.95,182.63,150.78,52.53,137.86,274.44
2021-06-03,129.08,243.29,87.05,216.0,184.16,185.6,150.01,53.04,139.2,272.48
2021-06-04,129.82,247.71,88.42,217.92,184.31,185.22,153.12,54.29,139.71,276.7
2021-06-07,132.46,250.43,89.92,216.99,185.14,182.73,151.0,55.45,137.79,281.99
2021-06-08,129.97,245.98,88.38,212.27,181.71,183.86,145.74,53.74,137.39,278.65
2021-06-09,129.16,245.0,87.08,205.74,183.29,180.46,147.84,54.07,138.18,284.75
2021-06-10,128.74,245.49,86.86,207.03,183.47,179.53,145.74,53.23,139.04,274.17
2021-06-11,125.15,241.99,86.0,206.64,175.97,177.18,144.63,52.88,136.66,262.81
2021-06-14,128.77,247.16,88.3,207.03,187.12,177.47,144.77,53.13,138.23,278.7
2021-06-15,131.22,251.24,89.66,210.56,194.65,176.54,147.65,53.65,138.7,291.89
2021-06-16,132.79,251.56,90.89,210.62,201.56,175.16,148.43,53.0,141.93,289.9
2021-06-17,133.93,251.25,91.0,213.29,206.27,177.52,146.35,53.13,144.57,286.41
2021-06-18,134.65,252.2,91.72,211.45,203.2,174.65,147.55,54.14,144.39,283.28
2021-06-21,131.47,249.72,89.3,205.41,195.69,173.77,143.86,53.36,142.5,274.49
2021-06-22,133.62,252.72,90.91,214.91,198.1,173.5,146.81,56.24,142.83,292.05
2021-06-23,133.9,251.47,90.07,217.12,194.82,173.67,149.61,56.48,144.63,281.85
2021-06-24,132.9,246.92,89.02,219.27,190.38,174.91,148.19,56.46,144.15,279.76
2021-06-25,134.0,249.73,89.09,216.56,191.47,174.65,147.84,57.06,143.1,276.23
2021-06-28,138.52,252.5,91.8,221.68,198.96,174.95,149.0,58.0,143.77,297.06
2021-06-29,139.8,255.58,92.37,221.67,199.33,174.85,147.0,59.2,143.67,301.02
2021-06-30,139.41,255.68,94.1,221.23,197.15,175.4,143.52,58.78,142.49,291.59
2021-07-01,140.57,257.28,93.4,219.18,190.96,175.71,143.23,58.14,142.61,276.58
2021-07-02,138.61,256.04,91.95,216.7,186.55,175.0,141.3,57.17,142.24,262.96
2021-07-05,138.73,254.45,90.59,219.56,187.0,178.33,139.68,56.98,142.86,268.4
2021-07-06,137.75,250.49,90.48,218.28,185.08,178.55,139.83,56.48,142.43,267.26
2021-07-07,139.64,250.87,91.3,216.3,183.85,177.94,136.06,57.69,140.9,272.67
2021-07-08,142.21,251.84,90.66,216.3,184.18,174.72,134.63,57.84,142.47,266.2
2021-07-09,138.9,247.08,88.65,216.53,181.52,176.12,134.8,58.39,141.84,265.3
2021-07-12,136.5,244.51,87.44,220.41,177.43,176.68,135.25,58.32,140.66,263.53
2021-07-13,134.57,239.21,86.38,223.32,170.74,175.69,135.31,57.67,139.38,257.09
2021-07-14,135.89,243.9,86.7,221.92,176.21,175.07,136.13,59.11,139.05,267.07
2021-07-15,139.0,251.97,89.6,227.06,183.68,177.16,139.85,60.25,138.94,272.25
2021-07-16,135.48,243.21,87.36,224.82,172.22,175.29,138.5,59.33,136.53,262.06
2021-07-19,136.19,244.74,88.45,222.83,176.9,174.99,140.71,60.15,135.74,275.05
2021-07-20,136.95,245.77,88.81,223.2,180.51,175.92,141.3,58.93,136.71,279.32
2021-07-21,141.88,254.24,90.52,227.17,197.25,178.25,143.46,60.76,137.94,309.32
2021-07-22,141.43,253.74,90.88,223.68,199.76,177.18,143.75,59.16,138.67,314.99
2021-07-23,140.42,249.92,90.1,228.47,191.9,175.67,142.34,58.5,137.23,289.12
2021-07-26,141.76,252.38,89.71,234.44,200.79,175.81,144.61,58.87,138.66,292.44
2021-07-27,146.67,257.41,92.31,236.75,215.53,178.82,150.46,60.71,139.93,328.14
2021-07-28,146.74,260.87,93.72,234.49,221.77,180.08,146.11,60.93,139.28,329.79
2021-07-29,144.97,258.54,93.07,227.86,217.68,179.88,149.19,59.7,138.44,326.5
2021-07-30,147.6,260.9,95.29,223.74,217.57,179.69,147.18,58.15,137.43,330.51
2021-08-02,143.52,256.66,93.91,219.68,208.43,179.54,146.12,58.84,135.17,322.03
2021-08-03,144.05,256.42,91.88,218.41,211.25,180.58,145.47,57.76,136.31,318.68
2021-08-04,144.91,257.8,91.66,215.55,214.0,180.09,143.08,56.56,136.0,327.07
2021-08-05,143.85,256.61,91.16,210.69,205.86,177.92,142.21,56.21,135.73,315.94
2021-08-06,143.7,255.01,91.5,207.89,200.53,177.94,139.73,57.74,135.32,319.41
2021-08-09,142.04,252.38,90.17,204.49,198.2,176.69,140.32,59.86,134.93,325.93
2021-08-10,142.94,258.0,91.3,202.07,200.0,177.17,139.99,61.91,136.56,326.14
2021-08-11,141.5,256.56,91.58,201.56,195.62,176.88,139.12,62.29,135.13,318.42
2021-08-12,144.09,257.78,91.61,203.67,197.95,177.76,139.83,62.64,135.83,320.44
2021-08-13,144.36,260.39,91.38,203.28,203.55,178.97,142.51,62.61,134.35,330.49
2021-08-16,145.24,265.0,93.29,206.01,211.26,179.74,141.86,63.12,135.67,340.74
2021-08-17,147.17,266.27,93.96,209.28,212.78,179.39,142.8,64.38,135.88,339.69
2021-08-18,145.63,265.05,93.35,208.8,211.95,179.38,143.12,64.32,137.05,344.11
2021-08-19,143.12,261.49,91.91,205.78,211.69,179.09,140.63,64.12,137.26,343.63
2021-08-20,147.17,267.3,94.02,202.47,219.56,180.83,141.62,62.04,137.21,359.44
2021-08-23,148.48,266.75,93.95,202.13,217.91,177.67,141.77,63.26,135.49,371.87
2021-08-24,148.34,269.85,94.4,202.2,222.0,177.21,144.27,62.74,135.05,376.05
2021-08-25,147.29,270.72,95.21,205.08,216.16,177.98,147.62,62.31,135.23,367.1
2021-08-26,144.7,269.86,94.34,204.99,210.22,178.44,144.1,59.83,134.39,350.98
2021-08-27,145.34,270.56,94.52,202.31,210.29,178.67,143.13,60.23,134.57,356.63
2021-08-30,147.39,271.75,95.95,203.11,214.21,177.71,141.83,60.22,132.77,362.85
2021-08-31,143.94,269.69,95.17,197.65,210.03,178.33,143.38,60.09,132.89,352.76
2021-09-01,144.21,268.88,94.56,197.78,210.6,179.84,144.01,60.76,134.08,375.05
2021-09-02,140.4,262.53,93.28,194.19,203.86,179.04,147.48,59.5,134.89,372.51
2021-09-03,138.35,262.07,91.71,192.02,200.71,175.79,146.07,59.42,135.8,363.13
2021-09-06,143.31,268.54,94.45,195.48,209.8,173.61,146.32,58.17,136.87,360.1
2021-09-07,141.47,264.64,93.0,194.03,207.82,172.3,145.99,60.32,137.37,363.74
2021-09-08,139.9,262.3,91.39,193.26,204.59,169.26,143.82,60.98,136.51,353.16
2021-09-09,137.1,254.3,89.73,191.03,196.97,169.95,145.12,59.97,136.53,339.68
2021-09-10,135.72,253.54,88.5,182.73,191.42,168.48,146.09,58.95,136.22,330.11
2021-09-13,138.34,259.71,91.26,179.86,199.15,169.62,148.69,59.82,136.61,343.58
2021-09-14,134.92,253.97,91.06,176.81,185.4,169.42,150.66,60.69,135.77,335.13
2021-09-15,138.81,256.95,92.27,176.47,190.14,171.18,152.68,61.47,134.73,349.78
2021-09-16,135.09,255.39,91.81,176.16,183.23,173.36,153.27,60.41,132.65,331.53
2021-09-17,135.27,255.29,90.8,179.36,183.36,172.98,154.96,59.93,131.22,336.25
2021-09-20,139.28,259.13,92.85,179.21,189.63,172.31,155.4,60.47,130.69,350.11
2021-09-21,135.61,253.85,90.57,177.03,182.7,172.88,151.06,58.23,130.5,317.17
2021-09-22,136.07,251.59,91.53,178.89,180.81,174.18,150.36,57.36,129.21,310.26
2021-09-23,136.28,253.13,92.56,174.01,181.07,172.09,149.42,58.96,129.02,322.38
2021-09-24,140.46,261.11,95.07,173.17,190.75,171.97,147.24,59.24,129.74,347.61
2021-09-27,139.78,261.07,94.28,174.85,190.12,170.86,146.48,59.78,129.93,350.02
2021-09-28,136.84,255.44,92.75,170.94,183.18,166.54,149.43,59.25,130.43,334.08
2021-09-29,137.78,260.41,94.79,171.19,187.75,168.53,156.55,60.54,132.9,343.39
2021-09-30,139.86,265.88,96.13,170.29,197.15,168.37,155.07,59.92,132.74,359.09
2021-10-01,141.04,269.29,97.45,169.5,202.99,170.18,157.78,60.71,132.41,375.84
2021-10-04,139.39,267.24,95.19,163.31,198.24,168.49,155.15,59.67,131.77,369.73
2021-10-05,138.5,265.64,95.71,163.19,195.6,168.34,155.38,58.95,130.32,359.14
2021-10-06,140.42,266.5,96.45,166.51,197.61,169.55,153.22,58.97,130.88,361.71
2021-10-07,137.04,265.44,94.31,164.48,193.74,171.03,157.17,58.16,129.81,353.23
2021-10-08,134.85,264.74,93.99,164.52,192.09,173.09,155.67,58.08,128.69,354.71
2021-10-11,131.24,260.09,92.1,159.46,182.8,172.03,155.94,56.56,126.66,343.85
2021-10-12,130.78,257.62,92.06,158.2,182.94,170.53,155.04,56.99,126.44,351.42
2021-10-13,130.73,262.64,94.01,154.9,187.96,169.69,156.23,57.08,124.93,366.21
2021-10-14,131.21,262.63,93.85,155.5,189.57,169.59,150.09,56.51,123.48,363.93
2021-10-15,128.53,255.65,92.59,153.37,180.15,168.98,148.54,57.62,122.56,359.06
2021-10-18,130.51,262.35,93.87,153.23,190.81,170.96,152.05,57.13,124.95,366.95
2021-10-19,130.97,262.65,93.42,149.79,185.98,170.49,147.83,55.42,124.02,338.06
2021-10-20,132.6,258.74,93.37,151.31,185.72,169.72,151.73,55.92,125.94,339.25
2021-10-21,132.92,263.15,94.0,151.68,192.53,169.6,147.62,55.99,127.01,333.82
2021-10-22,134.35,266.83,93.39,149.54,195.33,169.54,145.03,55.08,128.83,330.84
2021-10-25,133.03,265.08,93.0,148.93,192.07,168.47,143.23,54.28,128.65,314.94
2021-10-26,133.9,269.98,94.34,148.48,193.14,171.12,142.58,55.17,129.16,317.94
2021-10-27,133.45,264.71,93.58,150.07,185.64,170.31,142.2,55.58,129.0,301.51
2021-10-28,132.46,264.09,93.72,148.1,190.04,167.53,140.21,55.0,128.66,295.74
2021-10-29,133.44,266.41,94.49,149.52,191.85,165.92,138.76,55.28,128.74,295.35
2021-11-01,134.63,266.54,94.99,151.83,193.09,164.55,136.88,56.03,130.43,301.91
2021-11-02,135.18,264.23,94.82,156.34,194.13,164.6,138.48,55.48,130.34,294.74
2021-11-03,136.22,267.49,95.61,154.66,197.43,164.09,136.94,55.6,129.45,291.05
2021-11-04,133.56,260.06,93.57,153.54,189.0,163.82,138.15,54.8,129.59,272.14
2021-11-05,136.46,260.65,94.23,154.0,187.58,163.56,138.52,54.77,128.22,285.17
2021-11-08,137.68,269.05,95.4,156.58,198.4,164.96,142.53,55.65,128.52,278.77
2021-11-09,138.62,266.87,94.98,154.64,195.84,164.69,141.85,55.87,129.99,277.32
2021-11-10,137.7,268.28,95.64,156.06,193.85,165.79,143.25,57.25,129.07,269.8
2021-11-11,139.23,263.68,94.91,154.68,187.99,163.57,144.01,57.68,128.92,275.07
2021-11-12,137.09,258.09,93.85,155.16,180.6,161.55,145.91,56.21,127.74,262.72
2021-11-15,140.96,263.89,96.62,156.4,190.06,162.22,144.49,57.07,129.5,280.01
2021-11-16,141.12,261.72,94.52,156.34,191.36,163.27,145.02,57.0,131.48,286.57
2021-11-17,140.31,262.53,93.92,156.89,187.91,162.12,146.4,58.25,131.76,283.09
2021-11-18,135.41,256.39,91.45,152.36,176.57,162.89,145.11,57.83,131.4,263.49
2021-11-19,135.89,260.37,93.62,153.11,179.64,163.85,147.6,59.67,130.3,271.46
2021-11-22,133.69,255.17,92.22,153.91,172.33,164.4,149.62,61.6,130.21,265.78
2021-11-23,131.76,250.14,91.59,149.36,169.27,161.88,146.71,60.24,128.83,264.69
2021-11-24,135.5,253.22,93.19,151.47,176.16,162.0,150.45,62.12,128.77,285.31
2021-11-25,138.73,256.0,94.64,152.3,179.58,160.02,147.55,62.08,130.59,284.11
2021-11-26,137.47,258.79,93.75,146.79,177.83,159.01,142.44,61.0,130.53,269.17
2021-11-29,137.73,260.19,94.0,147.31,179.77,158.32,145.34,62.74,132.07,279.36
2021-11-30,134.57,258.66,93.04,141.68,174.71,157.89,147.67,63.04,130.2,284.97
2021-12-01,134.74,258.31,92.79,138.0,173.61,157.76,146.17,62.78,129.06,286.07
2021-12-02,135.47,259.78,92.08,136.98,179.49,157.25,145.19,62.55,131.34,297.32
2021-12-03,137.22,259.58,92.97,139.57,179.24,156.31,149.04,63.07,133.5,302.87
2021-12-06,138.15,261.96,92.62,140.15,185.8,157.63,149.53,65.06,134.23,314.34
2021-12-07,138.55,264.5,91.86,140.45,190.55,157.86,151.24,66.22,137.23,315.61
2021-12-08,140.39,264.25,91.28,136.62,192.49,157.16,148.72,63.58,136.68,315.28
2021-12-09,142.17,266.47,92.44,136.88,200.92,156.08,147.52,63.02,137.88,316.55
2021-12-10,142.55,267.44,92.19,137.62,199.26,155.0,147.09,61.64,135.18,312.49
2021-12-13,144.92,269.2,92.79,141.18,199.98,153.95,148.61,62.46,136.78,300.84
2021-12-14,141.97,265.72,91.51,141.49,195.27,154.09,147.48,63.81,135.16,299.72
2021-12-15,139.95,264.69,89.85,141.61,193.19,156.45,146.94,64.26,134.33,296.53
2021-12-16,140.26,261.25,88.4,143.02,190.34,155.47,144.13,63.27,134.64,291.24
2021-12-17,135.97,259.61,87.59,135.25,187.2,155.69,143.36,60.88,134.51,279.72
2021-12-20,137.19,266.89,89.28,133.69,193.06,155.43,144.89,60.57,133.76,277.79
2021-12-21,137.0,267.19,87.31,133.4,192.98,154.73,147.07,61.89,132.92,285.72
2021-12-22,139.69,271.04,89.07,135.79,192.86,155.07,147.95,63.97,133.39,289.76
2021-12-23,139.58,273.69,89.27,133.98,193.83,156.32,149.38,64.16,133.51,289.34
2021-12-24,139.25,271.6,88.63,136.78,189.39,155.74,146.53,62.74,133.01,273.38
2021-12-27,143.09,275.81,91.54,141.67,196.15,159.17,150.83,65.54,135.86,292.95
2021-12-28,144.81,279.75,91.86,142.4,204.13,161.67,150.37,66.34,136.96,304.39
2021-12-29,145.68,281.53,92.82,146.45,209.58,162.93,156.01,68.86,137.82,310.54
2021-12-30,143.61,281.53,91.6,142.48,204.8,161.71,156.13,68.34,135.39,304.08
2021-12-31,144.18,281.04,92.58,142.23,208.14,162.18,159.13,67.41,135.91,307.58
2022-01-03,141.2,280.3,90.79,138.65,201.33,162.81,154.6,67.16,136.0,298.57
2022-01-04,142.82,284.57,91.26,142.53,205.66,163.95,154.9,68.6,135.97,304.88
2022-01-05,140.26,284.51,90.82,140.31,201.7,164.72,153.49,68.36,136.43,292.22
2022-01-06,141.13,286.63,91.35,139.59,207.69,164.06,149.62,68.51,135.29,302.85
2022-01-07,144.09,292.42,94.04,146.32,219.66,166.12,156.4,72.54,138.85,321.64
2022-01-10,141.26,287.18,92.78,145.23,211.81,166.23,152.77,71.82,139.39,311.19
2022-01-11,142.83,293.88,94.25,144.37,222.64,168.43,155.54,72.27,140.1,318.7
2022-01-12,145.34,300.47,95.07,147.42,232.82,168.4,153.45,73.29,140.34,339.06
2022-01-13,147.54,304.92,96.89,152.11,242.95,170.23,153.71,77.78,140.16,361.26
2022-01-14,143.98,301.75,95.25,151.72,230.69,171.7,151.88,77.33,140.14,342.84
2022-01-17,144.79,305.31,96.37,151.38,233.97,172.31,150.88,78.56,140.46,349.63
2022-01-18,147.51,308.79,97.7,151.84,240.88,172.91,150.33,78.48,140.31,355.57
2022-01-19,143.79,303.08,94.2,147.91,229.4,173.45,146.02,76.24,138.94,332.21
2022-01-20,146.89,304.05,95.15,150.7,236.67,173.14,142.68,75.92,141.38,339.14
2022-01-21,147.5,301.84,94.15,150.93,230.36,173.84,140.52,75.57,139.12,332.5
2022-01-24,144.97,291.87,92.27,153.97,223.64,174.13,139.42,76.16,140.84,325.32
2022-01-25,142.48,287.28,92.0,152.77,206.78,171.41,137.76,76.84,138.7,311.83
2022-01-26,141.44,280.59,90.3,153.12,201.15,168.93,135.34,79.33,137.3,316.07
2022-01-27,137.11,277.34,87.65,150.85,190.94,169.16,132.22,77.7,136.49,292.19
2022-01-28,137.98,278.06,88.1,152.58,191.52,168.13,131.29,79.33,136.72,290.25
2022-01-31,138.9,280.63,89.15,150.83,192.06,167.15,130.71,79.82,136.72,293.93
2022-02-01,141.86,286.52,90.92,149.66,196.81,167.06,132.79,80.37,136.24,299.93
2022-02-02,141.8,289.01,92.42,149.44,198.59,165.75,136.99,79.51,137.29,295.5
2022-02-03,140.61,284.42,93.13,150.11,194.15,166.3,136.88,79.21,137.07,288.35
2022-02-04,143.27,287.4,93.34,150.63,199.43,165.41,134.8,78.5,139.0,288.13
2022-02-07,146.49,289.96,95.11,151.74,206.5,164.05,136.61,79.16,139.06,299.02
2022-02-08,150.02,294.99,96.55,150.68,214.89,164.4,138.38,77.79,138.47,316.05
2022-02-09,150.86,297.7,96.47,148.4,220.61,165.71,136.34,75.78,138.63,313.92
2022-02-10,149.09,291.93,94.64,144.63,209.98,164.8,134.58,75.26,136.01,305.54
2022-02-11,153.94,297.12,97.73,149.73,222.1,165.95,138.07,77.56,138.25,319.72
2022-02-14,150.11,287.97,94.82,149.07,207.58,166.18,135.83,76.12,136.49,290.4
2022-02-15,150.72,293.67,95.8,144.68,214.43,164.13,132.87,75.08,136.16,287.7
2022-02-16,150.18,295.11,96.47,147.49,221.99,165.98,134.0,76.74,137.41,299.44
2022-02-17,150.67,293.23,95.56,147.38,221.19,164.8,133.72,79.11,135.78,310.25
2022-02-18,150.61,294.53,95.38,146.79,222.59,164.56,130.67,78.36,134.02,312.67
